Team ID,Team Day,Team Time,Team Format,Facilitator Role,Participant ID,Category,Year/Class,Age Range,Gender,Race/Ethnicity,Political Ideology,Is Conservative,Is Liberal,Is Moderate,Immigration Issue,Presidency Issue,Format Preference,Available Slots,For Class Credit,Courses,How Heard About DCI,Friend Invited,Invited By,Status,Date Submitted
f230p,Friday,2:30 PM - 4:30 PM,In-Person,,26,Student,Sophomore,18-22,Male,White,Somewhat Liberal,No,Yes,No,Somewhat Agree,Somewhat Agree,In-Person Only,7,No,,Davidson Student,,,Confirmed,2025-08-27 08:38:00
f230p,Friday,2:30 PM - 4:30 PM,In-Person,,35,Alum,,51-64,Female,Black/African American,Moderate,No,No,Yes,Prefer not to respond,Prefer not to respond,Either,16,No,,Davidson Alum or Family Member,,,Confirmed,2025-08-27 09:51:00
f230p,Friday,2:30 PM - 4:30 PM,In-Person,,47,Student,First Year,18-22,Female,White,Very Liberal,No,Yes,No,Strongly Agree,Somewhat Disagree,In-Person Only,16,No,,Davidson Student,,,Confirmed,2025-09-01 15:11:00
f230p,Friday,2:30 PM - 4:30 PM,In-Person,,68,Student,Sophomore,18-22,Female,White,Somewhat Liberal,No,Yes,No,Neither Agree nor Disagree,Somewhat Agree,Either,12,Yes,Course 3,Davidson Student,,,Confirmed,2025-09-03 20:35:00
f230p,Friday,2:30 PM - 4:30 PM,In-Person,,77,Student,First Year,18-22,Female,White,Somewhat Liberal,No,Yes,No,Somewhat Disagree,Somewhat Disagree,In-Person Only,10,Yes,Course 2,Davidson Student,,,Confirmed,2025-09-04 10:02:00
f230p,Friday,2:30 PM - 4:30 PM,In-Person,,109,Community Alum,,23-29,Female,White,Somewhat Conservative,Yes,No,No,Somewhat Agree,Prefer not to respond,In-Person Only,13,Yes,Course 1,Community Member / Member of the Public,,,Confirmed,2025-09-05 12:36:00
f230p,Friday,2:30 PM - 4:30 PM,In-Person,,144,Alum,,65+,Male,White,Moderate,No,No,Yes,Neither Agree nor Disagree,Somewhat Agree,In-Person Only,7,No,,Davidson Alum or Family Member,,,Confirmed,2025-09-08 16:20:00
f230p,Friday,2:30 PM - 4:30 PM,In-Person,,149,Alum,,65+,Male,White,Moderate,No,No,Yes,Somewhat Agree,Strongly Disagree,In-Person Only,1,No,,Davidson Alum or Family Member,,,Confirmed,2025-09-08 23:26:00
f230p,Friday,2:30 PM - 4:30 PM,In-Person,,62,Student,First Year,18-22,Female,"White, Other",Somewhat Conservative,Yes,No,No,Somewhat Agree,Somewhat Disagree,Either,5,No,,Davidson Student,,,Confirmed,2025-09-03 18:02:00
f230p,Friday,2:30 PM - 4:30 PM,In-Person,,96,Student,First Year,18-22,Female,White,Somewhat Liberal,No,Yes,No,Strongly Agree,Somewhat Agree,In-Person Only,18,No,,Davidson Student,,,Confirmed,2025-09-05 03:56:00
f230v,Friday,2:30 PM - 4:30 PM,Virtual,,6,Alum,,65+,Male,White,Very Liberal,No,Yes,No,Strongly Agree,Strongly Disagree,Virtual Only,6,No,,Davidson Alum or Family Member,4.0,,Confirmed,2025-08-14 15:42:00
f230v,Friday,2:30 PM - 4:30 PM,Virtual,,13,Community Alum,,51-64,Female,White,Very Liberal,No,Yes,No,Strongly Agree,Somewhat Disagree,Virtual Only,1,No,,Community Member / Member of the Public,,72.0,Confirmed,2025-08-18 18:49:00
f230v,Friday,2:30 PM - 4:30 PM,Virtual,,17,Alum,,65+,Male,White,Somewhat Liberal,No,Yes,No,Strongly Agree,Somewhat Disagree,Virtual Only,12,No,,Davidson Alum or Family Member,,,Confirmed,2025-08-22 11:48:00
f230v,Friday,2:30 PM - 4:30 PM,Virtual,,38,Student,First Year,18-22,Male,White,Somewhat Liberal,No,Yes,No,Somewhat Agree,Somewhat Disagree,Either,16,No,,Davidson Student,,,Confirmed,2025-08-29 15:08:00
f230v,Friday,2:30 PM - 4:30 PM,Virtual,,46,Community Alum,,65+,Male,White,Moderate,No,No,Yes,Strongly Agree,Somewhat Agree,Virtual Only,17,No,,Community Member / Member of the Public,,,Confirmed,2025-08-31 16:42:00
f230v,Friday,2:30 PM - 4:30 PM,Virtual,,111,Community Alum,,65+,Female,White,Somewhat Liberal,No,Yes,No,Somewhat Agree,Strongly Disagree,Virtual Only,12,Yes,Course 1,Community Member / Member of the Public,,,Confirmed,2025-09-05 12:44:00
f230v,Friday,2:30 PM - 4:30 PM,Virtual,,138,Student,Junior,18-22,Male,Black/African American,Very Conservative,Yes,No,No,Neither Agree nor Disagree,Somewhat Agree,Either,6,No,,Davidson Student,,,Confirmed,2025-09-08 12:42:00
